Código da Função	Nome da Função	Código da Subfunção	Nome da Subfunção
01	Legislativa	031	Ação Legislativa
01	Legislativa	032	Controle Externo
02	Judiciária	061	Ação Judiciária
02	Judiciária	062	Defesa do Interesse Público no Processo Judiciário
03	Essencial à Justiça	091	Defesa da Ordem Jurídica
03	Essencial à Justiça	092	Representação Judicial e Extrajudicial
04	Administração	121	Planejamento e Orçamento
04	Administração	122	Administração Geral
04	Administração	123	Administração Financeira
04	Administração	124	Controle Interno
04	Administração	125	Normatização e Fiscalização
04	Administração	126	Tecnologia da Informação
04	Administração	127	Ordenamento Territorial
04	Administração	128	Formação de Recursos Humanos
04	Administração	129	Administração de Receitas
04	Administração	130	Administração de Concessões
04	Administração	131	Comunicação Social
05	Defesa Nacional	151	Defesa Aérea
05	Defesa Nacional	152	Defesa Naval
05	Defesa Nacional	153	Defesa Terrestre
06	Segurança Pública	181	Policiamento
06	Segurança Pública	182	Defesa Civil
06	Segurança Pública	183	Informação e Inteligência
07	Relações Exteriores	211	Relações Diplomáticas
07	Relações Exteriores	212	Cooperação Internacional
08	Assistência Social	241	Assistência ao Idoso
08	Assistência Social	242	Assistência ao Portador de Deficiência
08	Assistência Social	243	Assistência à Criança e ao Adolescente
08	Assistência Social	244	Assistência Comunitária
09	Previdência Social	271	Previdência Básica
09	Previdência Social	272	Previdência do Regime Estatutário
09	Previdência Social	273	Previdência Complementar
09	Previdência Social	274	Previdência Especial
10	Saúde	301	Atenção Básica
10	Saúde	302	Assistência Hospitalar e Ambulatorial
10	Saúde	303	Suporte Profilático e Terapêutico
10	Saúde	304	Vigilância Sanitária
10	Saúde	305	Vigilância Epidemiológica
10	Saúde	306	Alimentação e Nutrição
11	Trabalho	331	Proteção e Benefícios ao Trabalhador
11	Trabalho	332	Relações de Trabalho
11	Trabalho	333	Empregabilidade
11	Trabalho	334	Fomento ao Trabalho
12	Educação	361	Ensino Fundamental
12	Educação	362	Ensino Médio
12	Educação	363	Ensino Profissional
12	Educação	364	Ensino Superior
12	Educação	365	Educação Infantil
12	Educação	366	Educação de Jovens e Adultos
12	Educação	367	Educação Especial
12	Educação	368	Educação Básica
13	Cultura	391	Patrimônio Histórico, Artístico e Arqueológico
13	Cultura	392	Difusão Cultural
14	Direitos da Cidadania	421	Custódia e Reintegração Social
14	Direitos da Cidadania	422	Direitos Individuais, Coletivos e Difusos
14	Direitos da Cidadania	423	Assistência aos Povos Indígenas
15	Urbanismo	451	Infra-Estrutura Urbana
15	Urbanismo	452	Serviços Urbanos
15	Urbanismo	453	Transportes Coletivos Urbanos
16	Habitação	481	Habitação Rural
16	Habitação	482	Habitação Urbana
17	Saneamento	511	Saneamento Básico Rural
17	Saneamento	512	Saneamento Básico Urbano
18	Gestão Ambiental	541	Preservação e Conservação Ambiental
18	Gestão Ambiental	542	Controle Ambiental
18	Gestão Ambiental	543	Recuperação de Áreas Degradadas
18	Gestão Ambiental	544	Recursos Hídricos
18	Gestão Ambiental	545	Meteorologia
19	Ciência e Tecnologia	571	Desenvolvimento Científico
19	Ciência e Tecnologia	572	Desenvolvimento Tecnológico e Engenharia
19	Ciência e Tecnologia	573	Difusão do Conhecimento Científico e Tecnológico
20	Agricultura	601	Promoção da Produção Vegetal
20	Agricultura	602	Promoção da Produção Animal
20	Agricultura	603	Defesa Sanitária Vegetal
20	Agricultura	604	Defesa Sanitária Animal
20	Agricultura	605	Abastecimento
20	Agricultura	606	Extensão Rural
20	Agricultura	607	Irrigação
20	Agricultura	608	Promoção da Produção Agropecuária
20	Agricultura	609	Defesa Agropecuária
21	Organização Agrária	631	Reforma Agrária
21	Organização Agrária	632	Colonização
22	Indústria	661	Promoção Industrial
22	Indústria	662	Produção Industrial
22	Indústria	663	Mineração
22	Indústria	664	Propriedade Industrial
22	Indústria	665	Normalização e Qualidade
23	Comércio e Serviços	691	Promoção Comercial
23	Comércio e Serviços	692	Comercialização
23	Comércio e Serviços	693	Comércio Exterior
23	Comércio e Serviços	694	Serviços Financeiros
23	Comércio e Serviços	695	Turismo
24	Comunicações	721	Comunicações Postais
24	Comunicações	722	Telecomunicações
25	Energia	751	Conservação de Energia
25	Energia	752	Energia Elétrica
25	Energia	753	Combustíveis Minerais
25	Energia	754	Biocombustíveis
26	Transporte	781	Transporte Aéreo
26	Transporte	782	Transporte Rodoviário
26	Transporte	783	Transporte Ferroviário
26	Transporte	784	Transporte Hidroviário
26	Transporte	785	Transportes Especiais
27	Desporto e Lazer	811	Desporto de Rendimento
27	Desporto e Lazer	812	Desporto Comunitário
27	Desporto e Lazer	813	Lazer
28	Encargos Especiais	841	Refinanciamento da Dívida Interna
28	Encargos Especiais	842	Refinanciamento da Dívida Externa
28	Encargos Especiais	843	Serviço da Dívida Interna
28	Encargos Especiais	844	Serviço da Dívida Externa
28	Encargos Especiais	845	Outras Transferências
28	Encargos Especiais	846	Outros Encargos Especiais
28	Encargos Especiais	847	Transferências para Educação Básica
99	Reserva de Contingência	   	DESCRIÇÃO PENDENTE DE DEFINIÇÃO
99	Reserva de Contingência	999	Reserva de Contingência
ZZ	Diversos	XXX	Diversos
